Name,Address,City,State
Geo H distiller,14 Water Mhtn71,Brooklyn,New York
John brewer,32 E 2d,Brooklyn,New York
John F brewer,31 Belvldere25 Bel-,Brooklyn,New York
Bros brewers,1117 Wash’n ave,Brooklyn,New York
Emil brewer,92 Cedar pi,Brooklyn,New York
H’y distiller,177 Stagg668 Wil’by ave,Brooklyn,New York
Sam’l distillery,198 Knick’r ave,Brooklyn,New York
Burhenne Emil distiller,349 Hamburg ave,Brooklyn,New York
Dohn distillers,349 Hamburg ave,Brooklyn,New York
H’y Brewing Co (inc),493 B’wick ave,Brooklyn,New York
Distilling Co,450 G'point ave & 27,Brooklyn,New York
Griswold brewer,241 Wythe ave490,Brooklyn,New York
H’y brewer,1306 Greeue ave999,Brooklyn,New York
Brewing Co,197 B’wick ave,Brooklyn,New York
H’y brewer,031 DeKalb ay,Brooklyn,New York
H’y brewer,193 Melrose685 B’wick,Brooklyn,New York
John A brewer,193 Melrose31 Suy- !,Brooklyn,New York
Eurich ’s Fort Hamilton Brewery,34 ave e,Brooklyn,New York
Fallert Bertkold brewer,346 Lorimer408,Brooklyn,New York
Chas brewer,346 Lorimer738 Wil’by,Brooklyn,New York
Jos brewer,346 Lorimer738 Wil’by,Brooklyn,New York
Rich’d brewer,525 B’wick ave,Brooklyn,New York
Louis C brewer,237 Meserole739,Brooklyn,New York
Garden Brewery Bottling Co,31 Bremen,Brooklyn,New York
Guntrum Carl brewer,1087 B’wick ave,Brooklyn,New York
John brewer,1117 Wil’by ave,Brooklyn,New York
Geo brewer,925 DeKaib ave,Brooklyn,New York
Rich’d brewer,331 Hamburg ave,Brooklyn,New York
Wm V brewers’ mtls,20 Water Mhtn,Brooklyn,New York
Max brewer,1002 B’wick ave,Brooklyn,New York
Fred'k brewer,56 S Oxford,Brooklyn,New York
Bub brewer,1502 Prospect pi,Brooklyn,New York
H’y L brewer,67 Bremen12 E 92d,Brooklyn,New York
Sami brewer,36 Forrest40 E 72d,Brooklyn,New York
Mehler Florian brewer,166 Knick’r ave,Brooklyn,New York
Meisler John brewer,192 Knick’r ave,Brooklyn,New York
Mendelson Abraham agti,773 East p’kway Menk John brewer281 Stagg,Brooklyn,New York
John brewer,4th c Bond25 1st pi,Brooklyn,New York
Leonard brewer,4th c Bond248,Brooklyn,New York
N & Co distillers,3 Knick’r ave,Brooklyn,New York
Ernest brewer,67 Bremen61 E 80th,Brooklyn,New York
Liebmann brewers,67 Bremen,Brooklyn,New York
Chas brewer,193 B’wick ave761,Brooklyn,New York
Jacob brewer,237 S 4 th,Brooklyn,New York
O'Connell Anthony brewer,483 St Mark’s,Brooklyn,New York
Brewery,1117 Wash’n ave,Brooklyn,New York
Gottfried brewer,315 Liberty ave148,Brooklyn,New York
Herman distiller,177 Stagg680,Brooklyn,New York
Leon brewer,1126 Wil’by ave,Brooklyn,New York
Spring Distillery,3 Knick’r ave,Brooklyn,New York
Rugamer Sebastian distiller,157 23d,Brooklyn,New York
Sack Chas brewer,118 Dresden,Brooklyn,New York
Jacob brewer,230 Pa ave,Brooklyn,New York
F & M Brewing Co,385 Jay & 51st c,Brooklyn,New York
Herman B brewer,371 Pulaski170,Brooklyn,New York
Herman F brewer,371 Pulaski834,Brooklyn,New York
Julius brewer,371 Pulaski101 Lewis,Brooklyn,New York
Emil brewers’ supplies,18 Water Mhtn,Brooklyn,New York
Mieh’l brewer,256 Maujer280,Brooklyn,New York
Seitz’s N Son brewer,256 Manjer,Brooklyn,New York
Lorene brewer,200 Pa ave,Brooklyn,New York
Jos brewerE,96th n Farragut rd,Brooklyn,New York
Stoppenbach Nicholas brewer,275 N J ave,Brooklyn,New York
Milford B brewer,241 Wythe ave113,Brooklyn,New York
Wm brewer,57 Chrystie Mhtn,Brooklyn,New York
Troemel Rich’d brewer,32 E 2d,Brooklyn,New York
Urff Chas Paul brewer,239 Meserole26,Brooklyn,New York
Moses brewer,9601 3d ave,Brooklyn,New York
Paul brewer N,1st c BerryRock-,Brooklyn,New York
Paul Brewery Co N,1st c Berry,Brooklyn,New York
Welmert Nicholas brewer,92 Evergreen ay,Brooklyn,New York
John brewer,1562 Myrtle ave74 Cor-,Brooklyn,New York
Zerweck brewers,1562 Myrtle ay,Brooklyn,New York
Wensler Rudolf brewer,14 Olive pi,Brooklyn,New York
Wishert H’y brewer,1114 Wil’by ave,Brooklyn,New York
Ernest brewers’ mtls,114 2d ave,Brooklyn,New York
